Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9725370,"Signaling by ALK fusions and activated point mutants",2,119,0.007322626299920005,0.619946753527264,0.619946753527264,3,63,0.003915718814096587,9606,Homo sapiens,"STAT1;RRBP1","","R-HSA-9851142;R-HSA-9700181;R-HSA-9700179"
R-HSA-9700206,"Signaling by ALK in cancer",2,119,0.007322626299920005,0.619946753527264,0.619946753527264,3,71,0.004412952949219964,9606,Homo sapiens,"STAT1;RRBP1","","R-HSA-9851142;R-HSA-9700181;R-HSA-9700179"
R-HSA-445989,"TAK1-dependent IKK and NF-kappa-B activation  ",1,55,0.003384407113408406,0.6207585068606374,0.6207585068606374,2,17,0.0010566225371371745,9606,Homo sapiens,"IRAK1","","R-HSA-9758604;R-HSA-168184"
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",1,55,0.003384407113408406,0.6207585068606374,0.6207585068606374,1,9,5.593884020137983E-4,9606,Homo sapiens,"NCSTN","","R-HSA-3928656"
R-HSA-2046104,"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",1,55,0.003384407113408406,0.6207585068606374,0.6207585068606374,2,25,0.0015538566722605508,9606,Homo sapiens,"HSD17B4","","R-HSA-2066780;R-HSA-2066778"
R-HSA-1483191,"Synthesis of PC",1,55,0.003384407113408406,0.6207585068606374,0.6207585068606374,1,17,0.0010566225371371745,9606,Homo sapiens,"PEMT","","R-HSA-1483174"
R-HSA-70263,"Gluconeogenesis",1,56,0.003445941788197649,0.6273968318696767,0.6273968318696767,1,17,0.0010566225371371745,9606,Homo sapiens,"TPI1","","R-HSA-70481"
R-HSA-69002,"DNA Replication Pre-Initiation",2,121,0.007445695649498493,0.6289733520042897,0.6289733520042897,17,32,0.0019889365404935047,9606,Homo sapiens,"MCM8;ORC3L","","R-HSA-68960;R-HSA-68611;R-HSA-68610;R-HSA-68615;R-HSA-9749215;R-HSA-68940;R-HSA-68688;R-HSA-9749350;R-HSA-68595;R-HSA-68914;R-HSA-9749351;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-68918;R-HSA-68603;R-HSA-9749320"
R-HSA-8978868,"Fatty acid metabolism",7,429,0.026398375484585564,0.6314492210140266,0.6314492210140266,17,232,0.01441978991857791,9606,Homo sapiens,"PON3;ECHS1;ACAA2;ACOT12;HSD17B4;ALOXE3;ACACA","","R-HSA-77344;R-HSA-77314;R-HSA-2066780;R-HSA-2066778;R-HSA-389986;R-HSA-200555;R-HSA-8942208;R-HSA-77256;R-HSA-390252;R-HSA-75851;R-HSA-77325;R-HSA-5690043;R-HSA-390251;R-HSA-389995;R-HSA-8932633;R-HSA-77333;R-HSA-8874745"
R-HSA-9013405,"RHOD GTPase cycle",1,57,0.003507476462986893,0.6339193573952793,0.6339193573952793,1,9,5.593884020137983E-4,9606,Homo sapiens,"ARHGAP26","","R-HSA-9013437"
